session_title,username,average_value,measurement_type,sensor_package_name,unit_name,latitude,longitude,measured_value,time,season,error
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.84669833,-87.707325,1217.33,4/12/2017 11:16,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84720833,-87.70819167,1331,4/12/2017 11:16,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.846675,-87.707325,1218.67,4/12/2017 11:16,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84720833,-87.70819167,1329.17,4/12/2017 11:16,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.846665,-87.70731833,1227.67,4/12/2017 11:16,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84671833,-87.70729,1331,4/12/2017 11:16,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.846665,-87.70731833,1236.5,4/12/2017 11:17,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84671833,-87.707285,1334.5,4/12/2017 11:17,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.846665,-87.70731833,1232.33,4/12/2017 11:17,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84672833,-87.70725833,1339.83,4/12/2017 11:17,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.846665,-87.70731833,1221.5,4/12/2017 11:17,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84674,-87.707335,1346.33,4/12/2017 11:17,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.846665,-87.70731833,1220,4/12/2017 11:17,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84674,-87.707335,1347,4/12/2017 11:17,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.846665,-87.70731833,1229.17,4/12/2017 11:17,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84674,-87.707335,1341.67,4/12/2017 11:17,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.846665,-87.70731833,1236.33,4/12/2017 11:17,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84674,-87.707335,1340.67,4/12/2017 11:18,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.846665,-87.70731833,1235,4/12/2017 11:18,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84674,-87.707335,1344.17,4/12/2017 11:18,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.846665,-87.70731833,1229,4/12/2017 11:18,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84674,-87.707335,1347,4/12/2017 11:18,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.846665,-87.70731833,1225.17,4/12/2017 11:18,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84661833,-87.707295,1344.67,4/12/2017 11:18,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.846665,-87.70731833,1226.33,4/12/2017 11:18,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84654667,-87.70737167,1337.5,4/12/2017 11:18,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.84673833,-87.707425,1225.33,4/12/2017 11:18,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84649333,-87.707555,1328.83,4/12/2017 11:18,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.84673833,-87.707425,1218.5,4/12/2017 11:18,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84652667,-87.70756667,1326.17,4/12/2017 11:19,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.84673833,-87.707425,1211,4/12/2017 11:19,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84653,-87.70755333,1329,4/12/2017 11:19,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.84682167,-87.707355,1209.33,4/12/2017 11:19,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84659333,-87.70742333,1327.5,4/12/2017 11:19,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.84683333,-87.70734167,1211.67,4/12/2017 11:19,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84659333,-87.70742333,1320.5,4/12/2017 11:19,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.84683333,-87.70734167,1214.5,4/12/2017 11:19,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84659333,-87.70742333,1316,4/12/2017 11:19,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.84683333,-87.70734167,1211.83,4/12/2017 11:19,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84659333,-87.70742333,1321.17,4/12/2017 11:19,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.84683333,-87.70734167,1206.67,4/12/2017 11:19,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84659333,-87.70742333,1328.67,4/12/2017 11:20,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.84683333,-87.70734167,1205.33,4/12/2017 11:20,,
lv_m3_1testrun,SASA_AB3,1332.87,CO2 concentration,Terrier-0006667BB10F,parts per million,41.84659333,-87.70742333,1330.67,4/12/2017 11:20,,
LV_M1_TESTTEST,SASA_AB5,1238.68,CO2 concentration,Terrier-0006667BB04D,parts per million,41.84683333,-87.70734167,1207.33,4/12/2017 11:20,,
